email_id,category,customer_email,expected_reply,urgency,tone
EMAIL_011,Order Status,Can you check the status of my order #8831? I paid for express shipping but it still hasn't arrived. It has been 4 days.,"Hello, thank you for your email, and I sincerely apologize for the delay in receiving your order #8831. I looked into the tracking history and found that a logistics delay occurred at our regional sorting hub. Because your package did not arrive within the guaranteed express window, I have refunded your express shipping fee of $15.00 today. Your order is now out for delivery and should arrive tomorrow. Thank you for your understanding.",High,Frustrated
EMAIL_012,Order Status,I want to check if my order #9920 has been processed yet. I need to make sure it will arrive before I go on vacation next week.,"Hello, thank you for writing. I can confirm that your order #9920 has been successfully processed and is currently in the queue at our fulfillment center. It is estimated to ship tomorrow and will take approximately 3 business days to reach your address, putting the delivery date on Friday, which is well before your vacation next week. We will email you the tracking details as soon as it is picked up by the courier.",Medium,Polite
EMAIL_013,Order Status,"Hello, is order #7712 still on backorder? It's been a month and I haven't heard anything. Please let me know what is going on.","Hello, thank you for reaching out, and we deeply apologize for the extended wait time and lack of communication regarding order #7712. I have checked with our inventory manager, and unfortunately, the item is still backordered due to supply chain disruptions. We expect our next shipment in about two weeks. If you prefer not to wait, we can cancel this order for a full refund or exchange it for a similar item in stock. Please let us know how you would like to proceed.",High,Frustrated
EMAIL_014,Order Status,Could you provide the tracking number for order #6652? The email I received didn't seem to contain it.,"Hello, thank you for contacting support. I apologize that the tracking details were missing from your automated confirmation. Your tracking number for order #6652 is 1Z999AA10123456784, shipped via UPS. You can track your package directly on the UPS website, and it is currently scheduled for delivery this Wednesday. Please let us know if we can assist you with anything else.",Low,Professional
EMAIL_015,Late Delivery,My order #1029 was supposed to arrive last Friday. It is now Tuesday and it still isn't here. I am very upset. Why is it late?,"Hello, thank you for contacting us, and I am very sorry to hear that your order #1029 has not arrived. I tracked your package and discovered that the shipping carrier experienced severe winter weather delays at their primary shipping hub. Your package is currently moving and is scheduled to be delivered tomorrow. To help make things right, I have issued a $10.00 store credit to your account. We apologize for the inconvenience and appreciate your patience.",High,Angry
EMAIL_016,Late Delivery,"Hi there! Just checking in on order #5521. The tracker says it is delayed, but there's no new date. Do you have any updates on when it might arrive?","Hello! Thank you for reaching out. I checked the shipping updates for your order #5521. It looks like the courier had a routing mix-up, but they have resolved it, and the package is now back on track. It is currently at your local post office and is estimated to arrive this Friday. We will continue to monitor this for you, and we appreciate your friendly patience as we get this sorted out!",Low,Friendly
EMAIL_017,Late Delivery,"My tracking hasn't updated in 5 days for order #3341. This is ridiculous, I paid extra for fast shipping and now it's late. What are you doing about this?","Hello, thank you for writing, and I sincerely apologize for the frustration caused by this late delivery and the stalled tracking updates. I have launched an official trace with the shipping carrier to locate your package #3341. Because of the delay, I have processed a full refund of your shipping fees. If we do not see tracking updates by tomorrow, we will arrange for a replacement order to be shipped via next-day air at no cost to you. I will monitor this daily and email you directly with updates.",High,Frustrated
EMAIL_018,Late Delivery,Our company ordered event supplies (#EVENT-9021) which were guaranteed to arrive yesterday. We have a major presentation tomorrow morning and still don't have them. This is a critical issue.,"Hello, thank you for raising this critical issue. I understand how vital these supplies are for your presentation tomorrow. I have contacted our shipping courier's supervisor directly. Your package #EVENT-9021 has been expedited and is currently at the local courier depot. They have scheduled an emergency morning delivery before 9:00 AM tomorrow to ensure it arrives before your presentation. I will track this until it is in your hands and will follow up with you first thing in the morning.",Critical,Urgent
EMAIL_019,Late Delivery,"Dear support, I am writing to inquire about my package #7710, which appears to be delayed. Could you please check if there is an issue?","Hello, thank you for your inquiry. I have reviewed the tracking information for order #7710 and see that it is delayed due to an incorrect postal code entry during shipping sorting. The carrier has updated the address details, and the package is now routed correctly. It is estimated to arrive in 2 business days. We apologize for this shipping delay and thank you for bringing it to our attention.",Medium,Polite
EMAIL_020,Late Delivery,I'm still waiting on my package #5021. It's been over a week since the estimated delivery date. I'm very disappointed with this service.,"Hello, I am incredibly sorry for the severe delay in receiving order #5021 and for the disappointment this has caused. I have investigated your shipment and unfortunately, it appears the carrier has lost the package in transit. I have immediately issued a free express replacement order, which will ship today with overnight delivery. You will receive a new tracking number shortly. Thank you for your patience as we work to resolve this.",High,Frustrated
EMAIL_021,Late Delivery,Is there any update on my late order #1102? It has been sitting in 'pending delivery' for 3 days now.,"Hello, thank you for checking in on order #1102. I apologize for the static tracking status. I have contacted DHL, the carrier for your package. They confirmed that the delay is due to a backup in customs clearings. They expect to release the package tonight, and it should be delivered by Thursday. I will keep a close eye on the shipment and send you another update once it is cleared.",Medium,Professional
EMAIL_022,Cancellation,I need to cancel my order #8841. I realized I bought the wrong size. Please cancel it before it ships!,"Hello, thank you for your email. I have located your order #8841 in our system. Fortunately, it was still in the packing queue and had not yet shipped. I have successfully cancelled your order, and a full refund of $45.00 has been processed to your credit card. You will receive a cancellation email confirmation shortly. You can now go ahead and place a new order for the correct size whenever you are ready.",High,Polite
EMAIL_023,Cancellation,Cancel my order #9910. I don't want it anymore. I've found a better deal elsewhere.,"Hello, thank you for reaching out. I have successfully cancelled your order #9910 as requested, since it had not yet left our warehouse. A full refund has been issued to your payment method and should appear in your account in 3-5 business days. We are sorry we couldn't meet your needs this time, but we hope you'll consider us again in the future.",Medium,Professional
EMAIL_024,Cancellation,"Hi, is it possible to cancel just one item from my order #7711? I want to keep the book but cancel the desk lamp. Thank you!","Hello! Yes, that is absolutely possible. I have updated your order #7711 and successfully removed the desk lamp from your items. The book remains on your order and is scheduled to ship tomorrow. I have processed a partial refund of $24.99 for the cancelled lamp, which should show up on your payment card in 3-5 business days. You will receive an updated order summary shortly. Have a great day!",Medium,Friendly
EMAIL_025,Cancellation,I tried to cancel my order #1103 online but it wouldn't let me. This is extremely frustrating. Cancel it now before you ship it and charge me shipping!,"Hello, thank you for letting us know, and I apologize for the frustration with our online cancellation tool. I have checked your order #1103 and have manually cancelled it immediately. No charges have been processed, and you will not receive any shipments. We are currently fixing the online bug to prevent this from happening to others. Thank you for your quick email, and please let me know if you need any further assistance.",High,Frustrated
EMAIL_026,Cancellation,Urgent: Cancel order #5542! I input the wrong shipping address and need to stop it immediately.,"Hello, thank you for your urgent email. I have immediately caught your order #5542 in our fulfillment system and placed a hold on it, successfully stopping it from shipping. Since you would like to correct the address, we can actually update the shipping address directly in our system and resume the order instead of cancelling it completely. Please reply with your correct shipping address, and I will update it for you right away. Otherwise, let me know if you still prefer a full cancellation.",Critical,Urgent
EMAIL_027,Cancellation,Why was my order #4019 cancelled without my permission? I received a cancellation email and I am extremely angry. Explain this!,"Hello, thank you for your email, and I am very sorry for the confusion and frustration caused by the cancellation of your order #4019. I investigated this and found that our inventory system had an inaccurate count, and the item was actually out of stock. Our system automatically cancels and refunds orders when an item cannot be fulfilled. I understand how disappointing this is. I have applied a $15.00 discount code to your account for your next purchase, and we are working to improve our inventory accuracy. We sincerely apologize for this mistake.",High,Angry
EMAIL_028,Cancellation,"Dear Sir/Madam, I am writing to request the cancellation of our corporate contract renewal, reference #CORP-9921, effective immediately.","Hello, thank you for your email. I have received your formal request to cancel the renewal of corporate contract #CORP-9921. I have processed this request and deactivated the upcoming automatic renewal. Your active services will remain fully functional until the end of the current billing cycle on the last day of this month, and no further invoices will be generated. We thank you for your business over the past year, and please let us know if we can assist you with a transition plan.",Medium,Professional
EMAIL_029,Damaged Product,"My coffee table (#TAB-8812) arrived today and one of the wooden legs is completely cracked in half. This is unacceptable, I paid a lot of money for this.","Hello, thank you for reaching out, and I am incredibly sorry that your coffee table #TAB-8812 arrived with a cracked leg. This is certainly not the quality of service we aim to provide. I have immediately ordered a set of replacement legs to be shipped to your address via priority mail today at no cost. You will receive a tracking number shortly. You do not need to pack up or return the damaged table; please keep it or dispose of it as you see fit. We apologize for the frustration and inconvenience.",High,Angry
EMAIL_030,Damaged Product,"Hi, I received my ceramic mug order (#MUG-0021) today, but unfortunately it was chipped in the mail. It is so cute, is there any way I can get a replacement? Thanks!","Hello! Thank you for your email, and I am so glad you love the design of the mug, but I am very sorry to hear that it arrived chipped in transit. I have placed an order for a brand new replacement mug to be sent to you today with free express shipping. It should arrive in 2-3 business days. There is no need to return the chipped mug; please keep it or recycle it. We hope you enjoy your new mug when it arrives!",Low,Friendly
EMAIL_031,Damaged Product,The screen on the monitor I ordered (#MON-4411) is completely shattered. I need this for work and now I can't do my job. This is extremely frustrating. I need a new one sent overnight.,"Hello, thank you for contacting us, and please accept our deepest apologies for the damaged monitor. I understand how critical this is for your work. I have set up an overnight shipment for a brand new replacement monitor (#MON-4411) at no additional charge. It will be delivered to your address tomorrow morning. I have also emailed you a prepaid return label to send the shattered monitor back to us when you have a moment, but please prioritize your work first. We sincerely apologize for this major disruption.",Critical,Urgent
EMAIL_032,Damaged Product,"The box of my package #6612 was soaked in water when it arrived, and the book inside is ruined. Why wasn't it packaged in plastic?","Hello, thank you for writing, and I am very sorry that your package #6612 was water-damaged during delivery. We aim to ensure all items arrive in perfect condition, and I have shared your feedback about using plastic protective packaging with our shipping team. I have ordered a replacement book to be shipped out to you immediately today. We hope the new package arrives in perfect condition, and we apologize for this disappointing experience.",Medium,Frustrated
EMAIL_033,Damaged Product,"I received order #7731 and the glass vase is broken. Please refund me, I don't want a replacement.","Hello, thank you for your email, and I am very sorry to hear that your glass vase from order #7731 arrived broken. I have processed a full refund of $34.99 to your original payment method, which should appear in your account in 3-5 business days. There is no need to return the broken glass; please dispose of it safely. We apologize for the disappointment and hope to provide a better experience in the future.",High,Polite
EMAIL_034,Damaged Product,"Dear support, our shipment of corporate notebooks (#NOTE-901) has several items with bent covers and torn pages. We would like to request replacements for the 15 damaged units.","Hello, thank you for your email, and we apologize for the damaged notebooks in shipment #NOTE-901. We take product quality and professional standards very seriously. I have processed an expedited order for 15 brand new replacement notebooks, which will ship out to your company address today free of charge. You will receive the tracking information shortly. No return is required for the damaged notebooks. Thank you for your business and partnership.",Medium,Professional
EMAIL_035,Damaged Product,My headphones are missing the left ear pad out of the box (order #HEAD-332). Can you please send the missing part or do I have to return the whole thing?,"Hello, thank you for writing. I am sorry to hear that your new headphones are missing the left ear pad out of the box. You definitely do not need to return the entire unit. I have processed an order for a replacement set of ear pads to be shipped to your address via express mail today. It should arrive in 2-3 business days. We apologize for the oversight and thank you for your understanding.",Medium,Polite
EMAIL_036,Wrong Item,I ordered a black leather wallet (#WAL-009) but instead I received a brown nylon wallet. This is not what I paid for! How can you make such a stupid mistake? I want the correct one now.,"Hello, thank you for reaching out, and I am very sorry for the mistake. We mistakenly shipped you the wrong wallet model for order #WAL-009. I have immediately processed a replacement order for your correct black leather wallet, and it has been shipped to your address today via express shipping. I have also emailed you a prepaid return shipping label so you can return the brown nylon wallet to us. We apologize for the error and any inconvenience caused.",High,Angry
EMAIL_037,Wrong Item,"Hi! I just opened order #8812 and it looks like I got a blender instead of the coffee maker I ordered. They are both nice, but I'd really love my coffee maker! Can we swap?","Hello! Thank you for your wonderful, lighthearted email. We are very sorry about the mix-up and that you received a blender instead of your coffee maker! I have ordered your correct coffee maker to be shipped to you today via expedited shipping. I have also emailed you a prepaid UPS label to return the blender at your convenience. We appreciate your friendliness, and we hope you are enjoying fresh coffee very soon!",Low,Friendly
EMAIL_038,Wrong Item,"I received my order #7712, but it has the wrong shoe size. I ordered size 10, but you sent size 8. I have a race this weekend and I need the correct size! This is very urgent.","Hello, thank you for your urgent email, and I apologize for the size mistake on order #7712. I understand you have a race this weekend and need the correct shoe size. I have processed an overnight shipment for the size 10 shoes, and they will arrive at your address tomorrow morning. I've also sent a prepaid return label for the size 8 shoes; please return them when you have time after your race. Good luck with your run this weekend!",Critical,Urgent
EMAIL_039,Wrong Item,I ordered 3 blue shirts but received 2 blue and 1 red shirt (order #SHIRT-992). Why didn't anyone check this before shipping?,"Hello, thank you for writing, and I apologize for the picking error in your order #SHIRT-992. I have immediately ordered one blue shirt to be shipped to your address today to complete your requested order. You do not need to return the red shirt; please keep it as a gift from us for the mistake. We are reviewing our warehouse quality controls to prevent such errors. Thank you for your patience.",Medium,Frustrated
EMAIL_040,Wrong Item,"I received someone else's packing slip and items in order #5512. My name is David, but the box was addressed to Susan. Please help.","Hello David, thank you for bringing this mix-up to our attention. It appears that shipping labels were swapped on two packages during fulfillment, which is why you received Susan's order. I have located your actual order in our system and have re-shipped your correct items today via express delivery. I have also emailed you a prepaid return label to return the incorrect items. We sincerely apologize for this error and appreciate your help in resolving it.",Medium,Polite
EMAIL_041,Wrong Item,"Dear Customer Support, our office ordered 10 boxes of blue ink pens (#PEN-991), but we received 10 boxes of black ink pens. We require the blue ink pens for our documentation standards.","Hello, thank you for your email. We apologize for shipping the black ink pens instead of the blue ink pens your office ordered. I have processed an express replacement shipment for 10 boxes of blue ink pens today, and they will arrive within 2 business days. I have also sent a prepaid shipping label so your office can return the black ink pens at no cost. Thank you for your business and professionalism.",Medium,Professional
EMAIL_042,Wrong Item,I ordered a wireless charger (#CHG-02) but received a wired one. I am very disappointed as I paid a premium for wireless capability.,"Hello, thank you for writing, and I am very sorry for the disappointment. We made a mistake in our warehouse and shipped you a wired charger instead of the wireless model you purchased. I have issued an express replacement order for your wireless charger today. You do not need to return the wired charger; please keep it as a backup on us. We apologize for the oversight and hope this resolves the issue to your satisfaction.",High,Frustrated
EMAIL_043,Payment Failure,Why did my credit card get declined on your site? I have plenty of funds. Your checkout is broken! Fix this because I'm trying to buy your product.,"Hello, thank you for reaching out, and I apologize for the checkout difficulties. I have reviewed our transaction logs and can see that your card payment was declined by your bank with a 'Zip code verification failed' (AVS) code. This usually happens if the billing address entered on our site doesn't match the address on file with your bank. Please try checking out again and double-checking your billing postal code. Please let us know if the issue persists so we can assist further.",High,Angry
EMAIL_044,Payment Failure,"Hello! I am trying to renew my subscription but my card keeps failing with error code 1002. Is there an issue on your end? Thanks, Linda.",Hello Linda! Thank you for getting in touch. Error code 1002 typically indicates that the card issuer has declined the transaction due to temporary communication issues between the banks or a restriction on international/online transactions. There are no outages on our system. We recommend contacting your card issuer or trying a different payment method like PayPal. Please let us know if we can help you with anything else!,Low,Friendly
EMAIL_045,Payment Failure,I received an email saying my payment failed and my account will be suspended tomorrow. I need this account for my business! Please help me update my card immediately. This is extremely urgent.,"Hello, thank you for your urgent email. I understand how critical your account is for your business, and I assure you we will not suspend it while we work together to update your payment details. I have placed a temporary 7-day billing grace period on your account. To update your payment securely, please log in to your dashboard, navigate to Settings > Billing, and enter your new card information. Once updated, our system will automatically retry the invoice. Please let me know if you run into any issues.",Critical,Urgent
EMAIL_046,Payment Failure,"Your payment system is charging my card but then saying transaction failed, and now I have a pending charge on my bank account! Why are you stealing my money?","Hello, thank you for contacting us, and I sincerely apologize for the concern and stress this has caused. I can assure you that we are not holding or taking any money for failed transactions. When a transaction fails, your bank temporarily holds the funds as a pending authorization. This pending charge is not an actual fee and will automatically drop off your statement in 2 to 5 business days, depending on your bank's policies. Please let us know if you need any documentation for your bank.",High,Frustrated
EMAIL_047,Payment Failure,"Dear Billing Support, our corporate payment for invoice #INV-4412 has failed. We would like to request an alternative bank wire transfer option. Please provide the details.","Hello, thank you for your email. I have reviewed invoice #INV-4412 and confirmed that the credit card on file was declined due to a corporate transaction limit. We would be happy to accommodate a bank wire transfer. I have attached our formal bank routing details and invoice sheet to this email. Once you process the wire transfer, please reply with the payment confirmation receipt so we can manually mark the invoice as paid. Thank you for your partnership.",Medium,Professional
EMAIL_048,Payment Failure,I tried to pay with my American Express card but it says it's not accepted. Do you support Amex?,"Hello, thank you for writing. Yes, we do support American Express! If your payment was declined, it may be due to Amex's enhanced security filters for online software purchases. We suggest contacting American Express to authorize charges from us, or you can complete your purchase using a Visa, Mastercard, or PayPal. Please let us know if you have any questions.",Low,Polite
EMAIL_049,Payment Failure,My payment failed because my bank flagged it as suspicious. Can you tell me what merchant name will appear on the statement so I can tell my bank?,"Hello, thank you for contacting support. I apologize for the banking flag. The merchant name that will appear on your bank statement is 'EMAIL-AI-SYS-SERVICES'. If you provide this merchant name to your bank's fraud department, they will unblock our transactions, and you should be able to complete your purchase successfully. Please let us know if we can assist you with any other details.",Medium,Professional
EMAIL_050,Subscription,I want to cancel my subscription right now! It is too expensive and I don't use it enough. Make sure I don't get charged again next month.,"Hello, thank you for reaching out. I have processed your subscription cancellation as requested. Your account is now set to terminate at the end of your current billing cycle on the 30th of this month, and you will not be charged again. You will maintain full access to all features until that date. If you ever decide to return, we would love to have you back. Thank you for your time with us.",Medium,Polite
EMAIL_051,Subscription,"Hi there! I wanted to upgrade my plan from Basic to Pro today. Will I be charged the full price of Pro immediately or is it pro-rated? Thanks, Dave.","Hello Dave! Thank you for your email, and we are thrilled that you want to upgrade to our Pro plan! When you upgrade mid-month, our system automatically pro-rates the charge. You will only pay the difference for the remaining days of your current billing cycle today, and the full Pro rate will apply starting on your next regular billing date. Please let us know if you need help performing the upgrade in your dashboard!",Low,Friendly
EMAIL_052,Subscription,You guys renewed my subscription automatically without sending me a heads up! I want a refund! I didn't want to renew! This is an underhanded billing practice.,"Hello, thank you for writing, and please accept our apologies for any frustration. We outline our auto-renewal policy during sign-up, but we understand how easy it is to forget renewal dates. Since you contacted us within 7 days of the renewal and have not utilized the services since the charge, I have cancelled your subscription and processed a full refund of $120.00 today. The refund will take 3-5 business days to clear. Please let us know if we can assist you further.",High,Angry
EMAIL_053,Subscription,Can you change my billing cycle from monthly to annual? I heard there is a discount if I pay yearly. Please let me know.,"Hello, thank you for your inquiry. Yes, we do offer a 20% discount on all annual plans! I would be happy to help you switch your plan. I have updated your account billing cycle from monthly to annual, which will take effect on your next billing date. You will receive an updated invoice showing the annual rate and your 20% savings. Thank you for your continued support of our platform!",Medium,Polite
EMAIL_054,Subscription,"URGENT: I need to pause my subscription for 3 months because I'm going on medical leave starting tomorrow. Please do not cancel, just pause.","Hello, thank you for your email, and we send our warmest wishes for a speedy recovery during your medical leave. I have successfully paused your subscription for exactly 3 months, starting tomorrow. Your billing is on hold, and your account settings, data, and templates will be safely preserved until your return. We will automatically resume the subscription on the same day in 3 months, but you can unpause sooner if you wish. Take care.",Critical,Urgent
EMAIL_055,Subscription,"Dear Support, we need to add 5 more user seats to our corporate subscription plan. Can you please update our seat count and send the updated pricing?","Hello, thank you for your request. I have updated your corporate subscription plan to add 5 additional user seats, bringing your total to 15 seats. The pro-rated charge of $75.00 for the remainder of this billing cycle has been applied to your card on file, and your monthly rate will adjust accordingly starting next month. The new users can now be invited via your admin dashboard. Thank you for growing with us.",Medium,Professional
EMAIL_056,Subscription,"I keep getting emails saying my subscription failed to renew, but I updated my card yesterday. Why is it still failing?","Hello, thank you for contacting support. I apologize for the persistent notification emails. I have checked our billing ledger and can see that your payment was successful yesterday when you updated your card. The emails you received were queued automated alerts from prior retries. I have verified that your subscription is fully active and in good standing. You can ignore those emails, and we are glad to have you with us.",High,Frustrated
EMAIL_057,Account Access,I am locked out of my account and I have an important client meeting in 10 minutes! This is a complete disaster. Unlock my account now! Username: client_pro.,"Hello, thank you for your urgent email. I understand how critical this is for your client meeting. I have investigated username 'client_pro' and found that the account was temporarily locked due to multiple failed login attempts. I have manually unlocked your account immediately. You can now log in using your standard password. If you forgot your password, please use the reset link on our login page to gain access instantly. Good luck with your meeting!",Critical,Urgent
EMAIL_058,Account Access,"Hi, I forgot which email address I used to register my account. My full name is Mark Thompson and I purchased a subscription last week. Can you help me find it?",Hello Mark! Thank you for writing to us. I would be happy to help you locate your account. I searched our system using your full name and found an active subscription registered under the email address: m.thompson88@example.com. You can use this email address to log in or reset your password on our login screen. Let us know if you need any further help getting back in!,Low,Friendly
EMAIL_059,Account Access,Why did you suspend my account? I did absolutely nothing wrong! I want my account restored immediately. This is ridiculous.,"Hello, thank you for contacting us. Your account was temporarily suspended by our automated security system because of suspicious activity, specifically a high volume of login attempts from multiple international IP addresses within a short timeframe. We take security very seriously. To restore your account safely, we need to verify your identity. Please reply with the last 4 digits of the payment card on file, and we will unlock your account right away.",High,Angry
EMAIL_060,Account Access,I changed my phone number and now I can't pass the two-factor authentication (2FA) to log in. Please disable 2FA on my account.,"Hello, thank you for writing. For security purposes, we cannot disable two-factor authentication based on an email request alone. To safely bypass 2FA, please reply with your account recovery backup code, which was provided when you first enabled 2FA. If you do not have this code, please provide the billing address and the last transaction date of your account so we can verify your ownership and assist you.",High,Frustrated
EMAIL_061,Account Access,"Dear Security Team, we would like to request administrative access changes for user profile #EMP-442 in our company tenant. Please advise on the steps.","Hello, thank you for your email. To modify administrative access permissions for user profile #EMP-442, an authorized tenant administrator must make these updates directly in the Admin Console under User Management > Roles & Permissions. If you are an authorized administrator and need assistance with the console navigation, we would be happy to host a quick screen-share session with you today. Please let us know your availability.",Medium,Professional
EMAIL_062,Account Access,I received an email about a login from a device I don't recognize. Was my account hacked? Please check the logs.,"Hello, thank you for raising this safety concern. I have reviewed your account login logs for the past 24 hours. I see a successful login from a Chrome browser on a Windows device located in Chicago, IL. If this matches your own activity (such as using a VPN or a work computer), your account is completely safe. However, if this was not you, please log in immediately, go to Security settings, click 'Log out of all other sessions', and reset your password. Please let us know if you need us to lock the account temporarily.",High,Frustrated
EMAIL_063,Account Access,Can I merge my two accounts? I have one under work@example.com and one under personal@example.com.,"Hello, thank you for your inquiry. Unfortunately, our platform does not support the direct merging of separate accounts or data transfer due to security and database structure limits. However, we can help you export your templates and data from one account so you can manually import them into the other, and then we can cancel the unused account for you. Please let us know if you would like to proceed with this data export.",Low,Polite
EMAIL_064,Password Reset,I keep clicking 'forgot password' but I am not receiving any reset email! I've checked my spam. Your password system is completely broken. Fix this!,"Hello, thank you for your email, and I apologize for the difficulty. Our password reset system is active, but emails can sometimes be blocked by strict enterprise domain filters. I have checked your registration and verified your email is correct. I have generated a secure, temporary password reset link manually for you: https://example.com/reset/temp-token-9921. This link is valid for 2 hours. Please use it to log in and set a new password. Let me know if you need any further assistance.",High,Angry
EMAIL_065,Password Reset,"Hi, I'm trying to reset my password but it says my password doesn't meet the strength requirements. What are the rules? Thanks!","Hello! Thank you for getting in touch. To ensure your account is fully secure, our password policy requires that your password be at least 10 characters long and include: at least one uppercase letter, at least one lowercase letter, at least one number, and at least one special character (e.g., !, @, #, $). Please try resetting your password again keeping these criteria in mind, and let us know if you have any questions!",Low,Friendly
EMAIL_066,Password Reset,"Dear Support, we have a corporate policy requiring password rotations every 90 days. We need to enforce this across our entire team. How do we do this?","Hello, thank you for your email. To enforce 90-day password rotation policies, your team administrator can enable this setting in the Admin Dashboard. Go to Settings > Security > Password Policy and check the box for 'Enforce password expiration every 90 days'. Once saved, all users in your organization will be prompted to rotate their passwords upon their next login if they are past the 90-day window. Please let us know if you need further assistance.",Medium,Professional
EMAIL_067,Password Reset,The reset link you sent me is expired. Why does it expire so quickly? Send me a new one that actually works.,"Hello, thank you for your email. For your account security, our password reset links expire automatically after 1 hour to prevent unauthorized access. I have triggered a fresh password reset link to your email address, which is active right now. Please open the email and complete the reset process as soon as possible. If the link expires again, please let us know so we can assist you with a manual temporary password.",Medium,Frustrated
EMAIL_068,Password Reset,I forgot my password but I no longer have access to the recovery email address registered on my account. How can I reset it?,"Hello, thank you for reaching out. Resetting a password without access to the registered email address is a strict security hazard, but we can help verify your ownership. To proceed, please reply with the last invoice number you paid, the billing zip code, and the last 4 digits of the payment card on file. Once we verify these billing details, we can update your account email to this address and trigger a password reset for you.",High,Polite
EMAIL_069,Password Reset,Password reset is not working on mobile. The page just hangs. Can you reset it for me?,"Hello, thank you for writing, and I apologize for the mobile difficulty. There is a temporary rendering bug on our mobile reset page which our dev team is fixing today. In the meantime, we highly recommend completing the password reset using a desktop web browser. Alternatively, I can set a temporary password for you if you'd like; please let me know if you would like me to generate one.",High,Frustrated
